2,4-Дактив, КЭ|Рапира, КЭ; Эндимион, КЭ; 
Бифор Прогресс, ВСК|АЛЬФА БРИГАДИР, КЭ; Бетакем, КЭ; Бетанал Прогресс ОФ, КЭ; Бетанал Эксперт ОФ, КЭ; Бетахим Эксперт, КЭ; Беташанс Трио, КЭ; Бетинол Плюс, КЭ; Битатрин, КЭ; Вымпел 3, КЭ; Горизонт, КЭ; Гуд-Харвест Свекольный Гербицид, КЭ; Древер, КЭ; Комрад, КЭ; Лидер, КЭ; Профессор, КЭ; Ратник, КЭ; Секира Элит, КЭ; Синбетан Эксперт ОФ, КЭ; Тринити, КЭ; Эксперт Трио ОФ, КЭ;
Бифор Супер, МЭ |--
Бихард, СЭ|--
Бицепс 22, КЭ|--
Бицепс 300, КЭ|--
Бицепс Гарант, КЭ|--
Бишка, КЭ|Евродим, КЭ; Альфа-Директор, КЭ; Би-58 Топ, КЭ; Бинадин, КЭ; Данадим Эксперт, КЭ; Ди-68, КЭ; Диметрон, КЭ; Диметус, КЭ; Димефос, КЭ; Дишанс, КЭ; Евродим, КЭ; Ранголи-Дункан, КЭ; Рогор-С, КЭ; Сирокко, КЭ; Тагор, КЭ; Террадим, КЭ; Тод, КЭ; Фостран, КЭ;
Блокпост, КЭ|Дифронт, КЭ; Фронтьер Оптима, КЭ; Эталон, КЭ;
Боксер, КЭ|Индокарб, КЭ;
Бомба, ВДГ|--
Бомбарда, КС |--
Бомбер, ДШ|--
Бонтима Форте, КЭ|Бонтима, КЭ;
Бонтима, КЭ|Бонтима Форте, КЭ;
Бонус, ВР|АгроБазон, ВР; Альфа-бентазон, ВР; Базон, ВР; Барон, ВР; Базагран, BР; Бентазолин, ВР; Бентасил, ВР; Бентекс, ВР; Бентобел, ВР; Бентограм, ВР; Бентус, ВР; Бизон, ВК; Бунт, ВР; Гарнизон, ВР; Гранбаз, ВР; Изобен, ВР; Корсар, ВРК; Наношанс, ВР; Ранголи-Базорон, ВР; Сикурс, ВР; Тигрис, ВР; 
Бордоская жидкость, ВСК|--
Бордоская смесь Экстра, ВРП|Бордоская смесь-Ф, ВРП;
Бордоская смесь-Ф, ВРП|Бордоская смесь Экстра, ВРП;
Борей Нео, СК|Батрайдер, СК; Жукоед, СК; Пиноцид, СК;
Борей, СК |Имидашанс Плюс, СК; 
Браво, КС|Банко, КС; Грэмми, КС; Талант, СК;
Брейк, MЭ|--
Бретер, КЭ|Молния, КЭ; Оперкот, КЭ; Сенсей, КЭ; Торег, КЭ; Каратэ Зеон, МКС; Гедеон, КЭ; Гладиатор, КЭ; Дипломат, КЭ; Кайзо, ВГ; Каратошанс, КЭ; Карачар, КЭ; Кунгфу, КЭ; Лассо, КЭ; Лямбда-С, КЭ; Лямдекс, КЭ; Самум, КЭ; Цепеллин Эдванс, КЭ;
Бриг, КС |Альфа-Прометрин, КС; Гезагард, КС; Гезадар, КС; Гонор, КС; Гордон, КС; Кратерр, КС; Позитив Плюс, КС; Промекс, КС; Променад, КС; Промет, КС; Прометрин, СК; Промобел, КС; Сармат, КС; Тристар, СП; Фортис, КС; Шансгард, КС; 
Бриз, парообразующий продукт в диспенсере|--
Броадер, КЭ|Риас, КЭ;
Бродифакум Гранд, Г|Варат, Г; Варат, МБ; Варат, ТБ; Килмайс, ТБ; Клерат, Г; Морторат, Г; 
Бронэкс, СП|Бусидо, ВДГ; Купролюкс, СП; Курзат Р, СП; Ордан, СП;
Бункер, ВСК|Раксон, КС; Стингер, КС; Тебу 60, МЭ; Тебузан, ТКС; Террасил, КС; Экономикс Колор, КС; АлтСил, КС; Грандсил, КС; Доспех, КС; Редут, КС; Сфинкс, КС; Тебуконазол, КС; Фразол Классик, КС; 
Бунт, ВР|АгроБазон, ВР; Альфа-бентазон, ВР; Базон, ВР; Барон, ВР; Базагран, BР; Бентазолин, ВР; Бентасил, ВР; Бентекс, ВР; Бентобел, ВР; Бентограм, ВР; Бентус, ВР; Бизон, ВК; Бонус, ВР; Гарнизон, ВР; Гранбаз, ВР; Изобен, ВР; Корсар, ВРК; Наношанс, ВР; Ранголи-Базорон, ВР; Сикурс, ВР; Тигрис, ВР; 
Бусидо, ВДГ|Каратель, ВДГ; Клотиамет, ВДГ; Тайшин, ВДГ;
Бутизан 400, КС|--
Бутизан Стар, КС |ТРАНШ Супер, СК;
Бутон, ВРП|--
Буцефал, КЭ|--
БФТИМ КС-2, Ж|--
Вайбранс Интеграл, КС|--
Вайбранс Топ, КС|--
Вайбранс Трио, КС|--
Вайбранс Экстра, КС|--
Вайбранс, КС|--
Валлар, Г|Гризли, Г; Медвегон, Г; Мухоед, Г; Террадокс, Г; 
Вантекс, МКС|--
Варрант, ВРК|Альфа-Серф, ВК; Биотлин, ВРК; Заман, ВРК; Зенит, ВРК; Зубр, ВРК; Имидабел, ВРК; Имидашанс, ВРК; Имидж, ВРК; Имидор Про, КС; Имидор, ВРК; Имиприд, ВРК; Искра Золотая, ВРК; Калаш, ВРК; Командор, ВРК; Контадор, ВРК; Конфибой, ВРК; Конфиделин, ВРК; Корадо, ВРК; Корадо, ВРК (old); Кортлис, ВРК; Муссон, ВРК; Ранголи-Имидоклоприд, ВРК; Танрек, ВРК; 
Велосити Пауэр, ВДГ|--
Велосити Супер, КЭ|--
Велосити, МД|--
Вендетта, КС|--
Веник, ВДГ|Эурон, ВДГ; Эшелон, ВДГ;
Венто, КС|--
Вердикт, ВДГ|--
Веримарк, КС|--
Вертимек, КЭ|Шанситек, КЭ; Мекар, МЭ; Клеопатра, КЭ; Сарейп, КЭ;
Вершина, КС|--
Виадук, ВК|Гольф, ВК; Длясои, ВК; Зета, ВРК; ПивАм, ВРК; Пивот, ВК; Ранголи-Прадо, ВРК; Сапфир, ВРК; Серп, ВРК; Солист, ВРК; Тапир, ВК; Тапирошанс, ВРК;
Виал ТрасТ, ВСК|Ларимар, ТКС ; 
Виал Трио, ВСК|--
Вивандо, КС|--
Вигор Форте, ВРКАП|Вигор Форте, КРП;
Вигор Форте, КРП|Вигор Форте, ВРКАП;
Видат 5Г, Г|Палица, Г;
Видблок Плюс, МЭ|--
Визион, ВДГ|--
Виконт, СП|Ацидан, СП; Метаксил, СП; Метамил МЦ, ВДГ; Меташанс, СП; Рапид Микс, СП;
Винг-П, КЭ|--
Виннер, КС|Ансамбль, КС; Винцит, КС;
Винтаж, МЭ|--
Винцит Форте, КС |--
Винцит, КС|Ансамбль, КС; Виннер, КС;
Виртуоз, КЭ|Аваксс, КЭ; Альпари, КЭ; Альтазол, КЭ; Альто Супер, КЭ; Альтрум Супер, КЭ; Анемон, КЭ; Атлант Супер, КЭ; Золтан, КЭ; Калибел, КЭ; Маэстро, КЭ; Пропишанс Супер, КЭ; Профи Супер, КЭ; Ранголи-Ципрос, КЭ; Супер Альянс, КЭ; Фильтерр, КЭ; Фунгисил, КЭ; Цимус Прогресс, КЭ; Цимус Прогресс, КЭ 1574;
Вист, шашки насыпные|--
Витавакс 200 ФФ, ВСК|--
Витазим, ВР|--
Витакс, КС|Имидасид, КС; Имидашанс-С, КС; Койот, Г; Койот, КС; Конрад, КС; Контадор Макси, КС; Нуприд 600, КС; Пикус, КС; Серф-Экстра, ТКС; Сидоприд, ТС; Стрит, КС; Тореадор Макси, КС; Форсер Энто, КС; 
Виталон, КС|--
Витаплан, СП|--
Витара, ВР|Адвокат, ВР; Альфа-Дикамба, ВРК; Герб-480, ВР; Губернатор, ВР; Дамба, ВР; Девиз, ВР; Деймос, ВРК; Декабрист, ВР; Диамант, ВР; Дианат, ВР; Диастар, ВР; Дикамбел, ВР; Ларт, ВР; Мономакс, ВР; Мурал, ВР; Оптимум, ВР; Санпэй, ВР; Шанс ДКБ, ВР;
Витарос, ВСК|Здоровая земля, ВСК; Здоровый газон, ВСК; 
Виташанс, ВДГ|Кумулус ДФ, ВДГ; Микротиол Специаль, ВДГ; Тиовит Джет, ВДГ; ФАС, серная шашка;
ВЛ 77, Ж|Вояж, ВДГ; Нэо, ВДГ; Хорс, ВДГ;
Волат, ВР|Абидос, ВР; Адекват, ВР; Голден Ринг, ВР; Десикант Экспертоф, ВР; Десикат Супер, ВР; Дикват, ВРК; Дикошанс, ВР; Донат, ВР; Лост, ВР; Молоток, ВР; Полис, ВР; Ранголи-Реголон, ВР; Регистан, ВРК; Реглон Форте, ВР; Результат Супер, ВР; Ректон, ВР; Суховей, ВР; Тонгара, ВР; Эквит, ВР;
Волиам Флекси, СК|--
Вольник, ВР|Ампир Экстра, ВР; Аргумент Стар, ВР; Аристократ Супер, ВР; Гелиос Экстра, ВР; ГлиБест 540, ВР; Глифор Форте, ВР; Глифошанс Супер, ВР; Голиаф, ВР; Раундап Экстра, ВР; Силач, ВР; Спрут Экстра, ВР; Тачдаун, ВР; Торнадо 540,
Восторг, КС|Гладиатор Супер, КС; Клотиамет Дуо, КС;
Вояж, ВДГ|ВЛ 77, Ж; Нэо, ВДГ; Хорс, ВДГ; 
Всполох, ВР |Альянс, ВР; Диакем, ВР; Диамакс, ВР ; Диана, ВР ; Дикопур Топ, ВР ; Диален Супер, ВР ;
Вулкан, ТПС|Семафор, ТПС; 
Выбор, КЭ|Центурион Профи, КЭ; 
Вымпел 2, КЭ|Агротех-Гарант-22, КЭ; Бетаниум 22, КЭ; Бельведер, СЭ; Бетахим 22, КЭ ; Бетацвай, КЭ ; Беташанс Дабл, КЭ; Бетинол 22, КЭ ; Бифор 22, ВСК; Бифор 22, КЭ ; Доцент, КЭ; Секира Дуэт, КС; Секунда, КЭ; Эксперт 22, КЭ; Эксперт Некст, КС; Бетанал 22, КЭ;
Вымпел 3, КЭ|АЛЬФА БРИГАДИР, КЭ; Бетакем, КЭ; Бетанал Прогресс ОФ, КЭ; Бетанал Эксперт ОФ, КЭ; Бетахим Эксперт, КЭ; Беташанс Трио, КЭ; Бетинол Плюс, КЭ; Битатрин, КЭ; Бифор Прогресс, ВСК;  Горизонт, КЭ; Гуд-Харвест Свекольный Гербицид, КЭ; Древер, КЭ; Комрад, КЭ; Лидер, КЭ; Профессор, КЭ; Ратник, КЭ; Секира Элит, КЭ; Синбетан Эксперт ОФ, КЭ; Тринити, КЭ; Эксперт Трио ОФ, КЭ;
Вэрва, ВЭ|--
Вэрва-ель, ВЭ|--
Газель, РП|Агент, ВДГ; Альфа-Амиприд, РП; Гринда, РП; Моспилан, РП; Снейк, РП; 
Газонтрел, ВР|Агрон, ВР; Альфа-Пиралид, ВР; Бис-300, ВР;  Клорит, ВР; Корректор, ВР; Лонган, ВР; Лонтрел-300, ВР; Лорнет, ВР; Премьер 300, ВР; Хакер 300, ВР; Хатор, ВР; Цукрон+, ВР; Шанстрел 300, ВР; 
Гайтан, КЭ|Пенитран, КЭ; Фист, КЭ; Кобра, КЭ; Эстамп, КЭ;
Галакси Топ, ВРК |Блиц, ВРК; Дибазон, ВРК; 
ГалактАлт, КЭ|Галактион, КЭ; Галлон, КЭ; Галмет, КЭ; Галокситин, КЭ; Галоп М, КЭ; Галошанс, КЭ; Гурон, КЭ; Зеллек-супер, КЭ; Злак Супер; Злакосупер, КЭ; Канон, КЭ; Ореол, КЭ; Орион, КЭ; Ранголи Галситил, КЭ; Сокол, КЭ; Соната Супер, КЭ; ФлангАгро, КЭ;
Галактион, КЭ|ГалактАлт, КЭ; Галлон, КЭ; Галмет, КЭ; Галокситин, КЭ; Галоп М, КЭ; Галошанс, КЭ; Гурон, КЭ; Зеллек-супер, КЭ; Злак Супер; Злакосупер, КЭ; Канон, КЭ; Ореол, КЭ; Орион, КЭ; Ранголи Галситил, КЭ; Сокол, КЭ; Соната Супер, КЭ; ФлангАгро, КЭ;
Галера Супер 364, ВР|--
Галиган, КЭ|Аксифор, КЭ; Акзифор, КЭ 1009; Босфор, КЭ; Гаур, КЭ; Гоал 2Е, КЭ; Пиранья, КЭ; 
Галион, ВР|--
Галлон, КЭ|ГалактАлт, КЭ; Галактион, КЭ; Галмет, КЭ; Галокситин, КЭ; Галоп М, КЭ; Галошанс, КЭ; Гурон, КЭ; Зеллек-супер, КЭ; Злак Супер; Злакосупер, КЭ; Канон, КЭ; Ореол, КЭ; Орион, КЭ; Ранголи Галситил, КЭ; Сокол, КЭ; Соната Супер, КЭ; ФлангАгро, КЭ;
Галмет, КЭ|ГалактАлт, КЭ; Галактион, КЭ; Галлон, КЭ; Галокситин, КЭ; Галоп М, КЭ; Галошанс, КЭ; Гурон, КЭ; Зеллек-супер, КЭ; Злак Супер; Злакосупер, КЭ; Канон, КЭ; Ореол, КЭ; Орион, КЭ; Ранголи Галситил, КЭ; Сокол, КЭ; Соната Супер, КЭ; ФлангАгро, КЭ;
Галокситин, КЭ|ГалактАлт, КЭ; Галактион, КЭ; Галлон, КЭ; Галмет, КЭ; Галоп М, КЭ; Галошанс, КЭ; Гурон, КЭ; Зеллек-супер, КЭ; Злак Супер; Злакосупер, КЭ; Канон, КЭ; Ореол, КЭ; Орион, КЭ; Ранголи Галситил, КЭ; Сокол, КЭ; Соната Супер, КЭ; ФлангАгро, КЭ;
Галошанс, КЭ|ГалактАлт, КЭ; Галактион, КЭ; Галлон, КЭ; Галмет, КЭ; Галокситин, КЭ; Галоп М, КЭ; Гурон, КЭ; Зеллек-супер, КЭ; Злак Супер; Злакосупер, КЭ; Канон, КЭ; Ореол, КЭ; Орион, КЭ; Ранголи Галситил, КЭ; Сокол, КЭ; Соната Супер, КЭ; ФлангАгро, КЭ;
Гамаир, КС|--
Гамаир, СП|--
Гамаир, ТАБ|--
Гамбит, СК|Альфа-Прометрин, КС; Кратерр, КС; Позитив Плюс, КС; Промет, КС; Прометрин, СК; Сармат, КС; Фортис, КС; Бриг, КС ; Гезагард, КС; Гезадар, КС; Гонор, КС; Гордон, КС; Промекс, КС; Променад, КС; Шансгард, КС; 
Гардо Голд, КС|Вождь, СК; Гардо Голд, КС 2279; Грасс, КС; Ирвин, СЭ; Камелот, СЭ; Киборг, КС; Террагард, СЭ; Толазин, СЭ; Хевимет Голд, КС; 
Гарнизон, ВР|АгроБазон, ВР; Альфа-бентазон, ВР; Базон, ВР; Барон, ВР; Базагран, BР; Бентазолин, ВР; Бентасил, ВР; Бентекс, ВР; Бентобел, ВР; Бентограм, ВР; Бентус, ВР; Бизон, ВК; Бонус, ВР; Бунт, ВР;  Гранбаз, ВР; Изобен, ВР; Корсар, ВРК; Наношанс, ВР; Ранголи-Базорон, ВР; Сикурс, ВР; Тигрис, ВР; 
Гарпун, КС|--
Гаугай, КЭ|--
Гаур, КЭ|Аксифор, КЭ; Акзифор, КЭ 1009; Босфор, КЭ; Галиган, КЭ; Гоал 2Е, КЭ; Пиранья, КЭ; 
Гаучо Эво, СК|--
Гедеон, КЭ|Молния, КЭ; Оперкот, КЭ; Сенсей, КЭ; Торег, КЭ; Каратэ Зеон, МКС; Бретер, КЭ; Гладиатор, КЭ; Дипломат, КЭ; Кайзо, ВГ; Каратошанс, КЭ; Карачар, КЭ; Кунгфу, КЭ; Лассо, КЭ; Лямбда-С, КЭ; Лямдекс, КЭ; Самум, КЭ; Цепеллин Эдванс, КЭ;
Гезагард, КС|Альфа-Прометрин, КС; Кратерр, КС; Позитив Плюс, КС; Промет, КС; Прометрин, СК; Сармат, КС; Фортис, КС; Бриг, КС ; Гамбит, СК; Гезадар, КС; Гонор, КС; Гордон, КС; Промекс, КС; Променад, КС; Шансгард, КС; 
Гезадар, КС|Альфа-Прометрин, КС; Бриг, КС; Гезагард, КС; Гонор, КС; Гордон, КС; Кратерр, КС; Позитив Плюс, КС; Промекс, КС; Променад, КС; Промет, КС; Прометрин, СК; Промобел, КС; Сармат, КС; Тристар, СП; Фортис, КС; Шансгард, КС; 
Гейзер, ККР|--
Геката, КМЭ|--
Гекстар, ВДГ|Агростар, ВДГ; Альфа Стар, ВДГ; Аргамак, ВДГ; Аргамак, ВДГ-1001; Артстар, ВДГ; Бен Гур, ВДГ; Бенрил, ВДГ; Герсотил, ВДГ; Герсотил, ВДГ+; Гран-при, ВДГ; Гранат, ВДГ; Гранд Плюс, ВДГ; Гранилин, ВДГ; Гренадер, ВДГ; Громстор, ВДГ; Грэнери, ВДГ; Гюрза, СП; Коррида, ВДГ; Мортира, ВДГ; Норман, ВДГ; Прометей, ВДГ; Ранголи-Трибенурон, ВДГ; Санфло, ВДГ; Спецназ 750, ВДГ; Сталкер, ВДГ; Старбокс, СТС; Суперстар, ВДГ; Таллер, ВДГ; Террастар, ВДГ; ТриАлт, ВДГ; Трибел, ВДГ; Трибинстар, ВДГ; Трибун, СТС; Трибунал, ВДГ; Тризлак, ВДГ; Триметил, ВДГ; Триммер, ВДГ; Ферат, ВДГ; Флюенс, ВДГ; Химстар, ВДГ; Шанстар, ВДГ; Экспресс, ВДГ;
Гелиос, ВР|Альфа Атаман, ВР; Ампир, ВР; Аргумент, ВР; Глибел, ВР; ГлиБест, ВР; Глифид, ВР; Глифоголд, ВР; Глифор, ВР; Глифот, ВР; Глифошанс, ВР; Граунд, ВР; Дзюдо, ВР; Зеро, ВР; Кайман, ВР; Ликвидатор, ВР; Напалм, ВР; Пилараунд, ВР; Рауль, ВР; Раундап Макс, ВР; Раундап, ВР; Росейт, ВР; Спрут, ВР; Тайфун, ВР; Торнадо, ВР; Торнадо, ВР 2585; Тотал, ВР; Файтер, ВР; Факел, ВР; Чистогряд, ВР;
Генсек, ВГР|--
Геокс, ВДГ|--
Гераклион, КС|--
Герб-480, ВР |Адвокат, ВР; Альфа-Дикамба, ВРК; Витара, ВР; Губернатор, ВР; Дамба, ВР; Девиз, ВР; Деймос, ВРК; Декабрист, ВР; Диамант, ВР; Дианат, ВР; Диастар, ВР; Дикамбел, ВР; Ларт, ВР; Мономакс, ВР; Мурал, ВР; Оптимум, ВР; Санпэй, ВР; Шанс ДКБ, ВР;
Гербитокс, ВРК|Агрошанс, ВК; Агритокс, ВК; Аметил, ВРК; Линтаплант, ВК; 
Гербитокс-Л, ВРК|--
Гермес, МД|--
Герольд, ВСК|--
Герсотил, ВДГ|Агростар, ВДГ; Альфа Стар, ВДГ; Аргамак, ВДГ; Аргамак, ВДГ-1001; Артстар, ВДГ; Бен Гур, ВДГ; Бенрил, ВДГ; Гекстар, ВДГ; Герсотил, ВДГ+; Гран-при, ВДГ; Гранат, ВДГ; Гранд Плюс, ВДГ; Гранилин, ВДГ; Гренадер, ВДГ; Громстор, ВДГ; Грэнери, ВДГ; Гюрза, СП; Коррида, ВДГ; Мортира, ВДГ; Норман, ВДГ; Прометей, ВДГ; Ранголи-Трибенурон, ВДГ; Санфло, ВДГ; Спецназ 750, ВДГ; Сталкер, ВДГ; Старбокс, СТС; Суперстар, ВДГ; Таллер, ВДГ; Террастар, ВДГ; ТриАлт, ВДГ; Трибел, ВДГ; Трибинстар, ВДГ; Трибун, СТС; Трибунал, ВДГ; Тризлак, ВДГ; Триметил, ВДГ; Триммер, ВДГ; Ферат, ВДГ; Флюенс, ВДГ; Химстар, ВДГ; Шанстар, ВДГ; Экспресс, ВДГ;
Герсотил, ВДГ+|Агростар, ВДГ; Альфа Стар, ВДГ; Аргамак, ВДГ; Аргамак, ВДГ-1001; Артстар, ВДГ; Бен Гур, ВДГ; Бенрил, ВДГ; Гекстар, ВДГ; Герсотил, ВДГ; Гран-при, ВДГ; Гранат, ВДГ; Гранд Плюс, ВДГ; Гранилин, ВДГ; Гренадер, ВДГ; Громстор, ВДГ; Грэнери, ВДГ; Гюрза, СП; Коррида, ВДГ; Мортира, ВДГ; Норман, ВДГ; Прометей, ВДГ; Ранголи-Трибенурон, ВДГ; Санфло, ВДГ; Спецназ 750, ВДГ; Сталкер, ВДГ; Старбокс, СТС; Суперстар, ВДГ; Таллер, ВДГ; Террастар, ВДГ; ТриАлт, ВДГ; Трибел, ВДГ; Трибинстар, ВДГ; Трибун, СТС; Трибунал, ВДГ; Тризлак, ВДГ; Триметил, ВДГ; Триммер, ВДГ; Ферат, ВДГ; Флюенс, ВДГ; Химстар, ВДГ; Шанстар, ВДГ; Экспресс, ВДГ;
Гетероауксин, TAБ|--
Гетероауксин, ВРП|--
Гетероауксин, П|--
Гетероауксин+, ВРП|--
Гибб Плюс, ВРК|Гиббера, ВР;
Гиббера, ВР|Гибб Плюс, ВРК;
Гибберсиб, П|--
Гиберелон, ВРП|--
Гимексазол, СП|Тачигарен, СП;
Гимнаст, СП |Акробат МЦ, ВДГ; Манкодим, СП; Рапид Дуэт, СП; Соланум, СП; Филдер 69, ВГ; 
Гладиатор Супер, КС|Восторг, КС; Клотиамет Дуо, КС;
Гладиатор, КЭ|Молния, КЭ; Оперкот, КЭ; Сенсей, КЭ; Торег, КЭ; Каратэ Зеон, МКС; Бретер, КЭ; Гедеон, КЭ; Дипломат, КЭ; Кайзо, ВГ; Каратошанс, КЭ; Карачар, КЭ; Кунгфу, КЭ; Лассо, КЭ; Лямбда-С, КЭ; Лямдекс, КЭ; Самум, КЭ; Цепеллин Эдванс, КЭ;
Глибел, ВР|Альфа Атаман, ВР; Ампир, ВР; Аргумент, ВР; Гелиос, ВР; ГлиБест, ВР; Глифид, ВР; Глифоголд, ВР; Глифор, ВР; Глифот, ВР; Глифошанс, ВР; Граунд, ВР; Дзюдо, ВР; Зеро, ВР; Кайман, ВР; Ликвидатор, ВР; Напалм, ВР; Пилараунд, ВР; Рауль, ВР; Раундап Макс, ВР; Раундап, ВР; Росейт, ВР; Спрут, ВР; Тайфун, ВР; Торнадо, ВР; Торнадо, ВР 2585; Тотал, ВР; Файтер, ВР; Факел, ВР; Чистогряд, ВР;
ГлиБест 540, ВР|Ампир Экстра, ВР; Аргумент Стар, ВР; Аристократ Супер, ВР; Вольник, ВР; Гелиос Экстра, ВР; Глифор Форте, ВР; Глифошанс Супер, ВР; Голиаф, ВР; Раундап Экстра, ВР; Силач, ВР; Спрут Экстра, ВР; Тачдаун, ВР; Торнадо 540,
ГлиБест Гранд, ВДГ (ver.1)|Бестселлер, ВДГ;
ГлиБест Гранд, ВДГ (ver.2)|ГлиБест Гранд, ВДГ (десикант); Кайман Форте, ВДГ; Стриж, ВДГ;
ГлиБест Гранд, ВДГ (десикант)|ГлиБест Гранд, ВДГ (ver.2); Кайман Форте, ВДГ; Стриж, ВДГ;
ГлиБест, ВР|Альфа Атаман, ВР; Ампир, ВР; Аргумент, ВР; Гелиос, ВР; Глибел, ВР; Глифид, ВР; Глифоголд, ВР; Глифор, ВР; Глифот, ВР; Глифошанс, ВР; Граунд, ВР; Дзюдо, ВР; Зеро, ВР; Кайман, ВР; Ликвидатор, ВР; Напалм, ВР; Пилараунд, ВР; Рауль, ВР; Раундап Макс, ВР; Раундап, ВР; Росейт, ВР; Спрут, ВР; Тайфун, ВР; Торнадо, ВР; Торнадо, ВР 2585; Тотал, ВР; Файтер, ВР; Факел, ВР; Чистогряд, ВР;
Глиокладин, СП|--
Глиокладин, ТАБ|--
Глифид, ВР|Альфа Атаман, ВР; Ампир, ВР; Аргумент, ВР; Гелиос, ВР; Глибел, ВР; ГлиБест, ВР; Глифоголд, ВР; Глифор, ВР; Глифот, ВР; Глифошанс, ВР; Граунд, ВР; Дзюдо, ВР; Зеро, ВР; Кайман, ВР; Ликвидатор, ВР; Напалм, ВР; Пилараунд, ВР; Рауль, ВР; Раундап Макс, ВР; Раундап, ВР; Росейт, ВР; Спрут, ВР; Тайфун, ВР; Торнадо, ВР; Торнадо, ВР 2585; Тотал, ВР; Файтер, ВР; Факел, ВР; Чистогряд, ВР;
Глифоголд, ВР|Альфа Атаман, ВР; Ампир, ВР; Аргумент, ВР; Гелиос, ВР; Глибел, ВР; ГлиБест, ВР; Глифид, ВР; Глифор, ВР; Глифот, ВР; Глифошанс, ВР; Граунд, ВР; Дзюдо, ВР; Зеро, ВР; Кайман, ВР; Ликвидатор, ВР; Напалм, ВР; Пилараунд, ВР; Рауль, ВР; Раундап Макс, ВР; Раундап, ВР; Росейт, ВР; Спрут, ВР; Тайфун, ВР; Торнадо, ВР; Торнадо, ВР 2585; Тотал, ВР; Файтер, ВР; Факел, ВР; Чистогряд, ВР;
Глифот, ВР|Альфа Атаман, ВР; Ампир, ВР; Аргумент, ВР; Гелиос, ВР; Глибел, ВР; ГлиБест, ВР; Глифид, ВР; Глифоголд, ВР; Глифор, ВР; Глифошанс, ВР; Граунд, ВР; Дзюдо, ВР; Зеро, ВР; Кайман, ВР; Ликвидатор, ВР; Напалм, ВР; Пилараунд, ВР; Рауль, ВР; Раундап Макс, ВР; Раундап, ВР; Росейт, ВР; Спрут, ВР; Тайфун, ВР; Торнадо, ВР; Торнадо, ВР 2585; Тотал, ВР; Файтер, ВР; Факел, ВР; Чистогряд, ВР;
Глифошанс Супер, ВР|Ампир Экстра, ВР; Аргумент Стар, ВР; Аристократ Супер, ВР; Вольник, ВР; Гелиос Экстра, ВР; ГлиБест 540, ВР; Глифор Форте, ВР; Голиаф, ВР; Раундап Экстра, ВР; Силач, ВР; Спрут Экстра, ВР; Тачдаун, ВР; Торнадо 540,
Глифошанс, ВР|Альфа Атаман, ВР; Ампир, ВР; Аргумент, ВР; Гелиос, ВР; Глибел, ВР; ГлиБест, ВР; Глифид, ВР; Глифоголд, ВР; Глифор, ВР; Глифот, ВР; Граунд, ВР; Дзюдо, ВР; Зеро, ВР; Кайман, ВР; Напалм, ВР; Пилараунд, ВР; Рауль, ВР; Раундап Макс, ВР; Раундап, ВР; Росейт, ВР; Спрут, ВР; Тайфун, ВР; Торнадо, ВР; Торнадо, ВР 2585; Тотал, ВР; Файтер, ВР; Факел, ВР; Чистогряд, ВР;
Глобал Плюс, ВК|Парадокс, ВРК; Пульмакс, ВРК; Пульс-Стар, ВР; Пульсар Старт, ВРК; 
Глобал, ВР|Зодиак, ВР; Зонатор, ВР; Илот, ВР; Имазабел, ВР; Имазошанс, ВР; Имквант, ВР; Каспер, ВРК; Курсар, ВР; Метас, ВР; Пропус, ВР; Пульсар, ВР; Родимич, ВР; Юзмар, ВР; Юнкер, ВР;
Гоал 2Е, КЭ|Аксифор, КЭ; Акзифор, КЭ 1009; Босфор, КЭ; Галиган, КЭ; Гаур, КЭ; Пиранья, КЭ; 
Голден Ринг, ВР|Абидос, ВР; Адекват, ВР; Альфа-Дикват, ВР; Волат, ВР; Десикант Экспертоф, ВР; Десикат Супер, ВР; Дикват, ВРК; Дикватерр Супер, ВР; Дикошанс, ВР; Донат, ВР; Лост, ВР; Молоток, ВР; Полис, ВР; Ранголи-Реголон, ВР; Регистан, ВРК; Реглон Форте, ВР; Результат Супер, ВР; Ректон, ВР; Суховей, ВР; Тонгара, ВР; Эквит, ВР;
Голиаф, ВР|Ампир Экстра, ВР; Аргумент Стар, ВР; Аристократ Супер, ВР; Вольник, ВР; Гелиос Экстра, ВР; ГлиБест 540, ВР; Глифор Форте, ВР; Глифошанс Супер, ВР; Раундап Экстра, ВР; Силач, ВР; Спрут Экстра, ВР; Тачдаун, ВР; Торнадо 540,
Голтикс, ВРГ|Голтикс Голд, КС; Голтикс, КС; Гуд-Харвест Метамитрон, КС; Конкистадор, ВДГ; Малахит, ВДГ; Мариус, КС; Метамир, ВДГ; Метарон, ВДГ; Метафол, СК; Метроном, КС; Минотавр, ВДГ; Митрон, КС; Пилот, ВСК; Ранголи-Метамитрон, КС; Скрин, КС; Шансомитрон, КС; 
Голтикс, КС|Голтикс, ВРГ; Голтикс Голд, КС; Гуд-Харвест Метамитрон, КС; Конкистадор, ВДГ; Малахит, ВДГ; Мариус, КС; Метамир, ВДГ; Метарон, ВДГ; Метафол, СК; Метроном, КС; Минотавр, ВДГ; Митрон, КС; Пилот, ВСК; Ранголи-Метамитрон, КС; Скрин, КС; Шансомитрон, КС; 
